"input_name","market_hash_name","type"
"鲍伊猎刀（★） | 致命紫罗兰 (崭新出厂)","★ Bowie Knife | Ultraviolet (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 致命紫罗兰 (久经沙场)","★ Bowie Knife | Ultraviolet (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自由之手 (破损不堪)","★ Bowie Knife | Freehand (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自由之手 (略有磨损)","★ Bowie Knife | Freehand (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自由之手 (战痕累累)","★ Bowie Knife | Freehand (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自由之手 (崭新出厂)","★ Bowie Knife | Freehand (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自由之手 (久经沙场)","★ Bowie Knife | Freehand (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自动化 (破损不堪)","★ Bowie Knife | Autotronic (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自动化 (略有磨损)","★ Bowie Knife | Autotronic (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自动化 (战痕累累)","★ Bowie Knife | Autotronic (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自动化 (崭新出厂)","★ Bowie Knife | Autotronic (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 自动化 (久经沙场)","★ Bowie Knife | Autotronic (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 狩猎网格 (略有磨损)","★ Bowie Knife | Safari Mesh (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 狩猎网格 (战痕累累)","★ Bowie Knife | Safari Mesh (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 狩猎网格 (久经沙场)","★ Bowie Knife | Safari Mesh (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 澄澈之水 (破损不堪)","★ Bowie Knife | Bright Water (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 澄澈之水 (略有磨损)","★ Bowie Knife | Bright Water (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 澄澈之水 (战痕累累)","★ Bowie Knife | Bright Water (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 澄澈之水 (崭新出厂)","★ Bowie Knife | Bright Water (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 澄澈之水 (久经沙场)","★ Bowie Knife | Bright Water (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 渐变大理石 (略有磨损)","★ Bowie Knife | Marble Fade (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 渐变大理石 (崭新出厂)","★ Bowie Knife | Marble Fade (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 渐变之色 (略有磨损)","★ Bowie Knife | Fade (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 渐变之色 (崭新出厂)","★ Bowie Knife | Fade (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 深红之网 (破损不堪)","★ Bowie Knife | Crimson Web (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 深红之网 (略有磨损)","★ Bowie Knife | Crimson Web (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 深红之网 (战痕累累)","★ Bowie Knife | Crimson Web (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 深红之网 (久经沙场)","★ Bowie Knife | Crimson Web (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 森林 DDPAT (破损不堪)","★ Bowie Knife | Forest DDPAT (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 森林 DDPAT (略有磨损)","★ Bowie Knife | Forest DDPAT (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 森林 DDPAT (战痕累累)","★ Bowie Knife | Forest DDPAT (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 森林 DDPAT (崭新出厂)","★ Bowie Knife | Forest DDPAT (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 森林 DDPAT (久经沙场)","★ Bowie Knife | Forest DDPAT (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 枯焦之色 (破损不堪)","★ Bowie Knife | Scorched (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 枯焦之色 (略有磨损)","★ Bowie Knife | Scorched (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 枯焦之色 (战痕累累)","★ Bowie Knife | Scorched (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 枯焦之色 (久经沙场)","★ Bowie Knife | Scorched (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 屠夫 (略有磨损)","★ Bowie Knife | Slaughter (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 屠夫 (崭新出厂)","★ Bowie Knife | Slaughter (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 屠夫 (久经沙场)","★ Bowie Knife | Slaughter (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 大马士革钢 (破损不堪)","★ Bowie Knife | Damascus Steel (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 大马士革钢 (略有磨损)","★ Bowie Knife | Damascus Steel (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 大马士革钢 (战痕累累)","★ Bowie Knife | Damascus Steel (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 大马士革钢 (崭新出厂)","★ Bowie Knife | Damascus Steel (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 大马士革钢 (久经沙场)","★ Bowie Knife | Damascus Steel (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 多普勒 (略有磨损)","★ Bowie Knife | Doppler (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 多普勒 (崭新出厂)","★ Bowie Knife | Doppler (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 外表生锈 (破损不堪)","★ Bowie Knife | Rust Coat (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 外表生锈 (战痕累累)","★ Bowie Knife | Rust Coat (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 噩梦之夜 (破损不堪)","★ Bowie Knife | Night (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 噩梦之夜 (略有磨损)","★ Bowie Knife | Night (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 噩梦之夜 (战痕累累)","★ Bowie Knife | Night (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 噩梦之夜 (久经沙场)","★ Bowie Knife | Night (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 北方森林 (破损不堪)","★ Bowie Knife | Boreal Forest (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 北方森林 (略有磨损)","★ Bowie Knife | Boreal Forest (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 北方森林 (战痕累累)","★ Bowie Knife | Boreal Forest (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 北方森林 (久经沙场)","★ Bowie Knife | Boreal Forest (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 伽玛多普勒 (略有磨损)","★ Bowie Knife | Gamma Doppler (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 伽玛多普勒 (崭新出厂)","★ Bowie Knife | Gamma Doppler (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 传说 (破损不堪)","★ Bowie Knife | Lore (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 传说 (略有磨损)","★ Bowie Knife | Lore (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 传说 (战痕累累)","★ Bowie Knife | Lore (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 传说 (崭新出厂)","★ Bowie Knife | Lore (Factory New)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 传说 (久经沙场)","★ Bowie Knife | Lore (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 人工染色 (破损不堪)","★ Bowie Knife | Stained (Well-Worn)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 人工染色 (略有磨损)","★ Bowie Knife | Stained (Minimal Wear)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 人工染色 (战痕累累)","★ Bowie Knife | Stained (Battle-Scarred)","★ 隐秘 匕首"
"鲍伊猎刀（★） | 人工染色 (久经沙场)","★ Bowie Knife | Stained (Field-Tested)","★ 隐秘 匕首"
"鲍伊猎刀（★）","★ Bowie Knife","★ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 黑色层压板 (破损不堪)","★ StatTrak™ Bowie Knife | Black Laminate (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 黑色层压板 (略有磨损)","★ StatTrak™ Bowie Knife | Black Laminate (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 黑色层压板 (战痕累累)","★ StatTrak™ Bowie Knife | Black Laminate (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 黑色层压板 (崭新出厂)","★ StatTrak™ Bowie Knife | Black Laminate (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 黑色层压板 (久经沙场)","★ StatTrak™ Bowie Knife | Black Laminate (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 都市伪装 (破损不堪)","★ StatTrak™ Bowie Knife | Urban Masked (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 都市伪装 (略有磨损)","★ StatTrak™ Bowie Knife | Urban Masked (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 都市伪装 (久经沙场)","★ StatTrak™ Bowie Knife | Urban Masked (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 表面淬火 (破损不堪)","★ StatTrak™ Bowie Knife | Case Hardened (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 表面淬火 (略有磨损)","★ StatTrak™ Bowie Knife | Case Hardened (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 表面淬火 (战痕累累)","★ StatTrak™ Bowie Knife | Case Hardened (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 表面淬火 (久经沙场)","★ StatTrak™ Bowie Knife | Case Hardened (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 虎牙 (略有磨损)","★ StatTrak™ Bowie Knife | Tiger Tooth (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 虎牙 (崭新出厂)","★ StatTrak™ Bowie Knife | Tiger Tooth (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 蓝钢 (破损不堪)","★ StatTrak™ Bowie Knife | Blue Steel (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 蓝钢 (战痕累累)","★ StatTrak™ Bowie Knife | Blue Steel (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 蓝钢 (崭新出厂)","★ StatTrak™ Bowie Knife | Blue Steel (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 蓝钢 (久经沙场)","★ StatTrak™ Bowie Knife | Blue Steel (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 致命紫罗兰 (破损不堪)","★ StatTrak™ Bowie Knife | Ultraviolet (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 致命紫罗兰 (略有磨损)","★ StatTrak™ Bowie Knife | Ultraviolet (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 致命紫罗兰 (战痕累累)","★ StatTrak™ Bowie Knife | Ultraviolet (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 致命紫罗兰 (久经沙场)","★ StatTrak™ Bowie Knife | Ultraviolet (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自由之手 (破损不堪)","★ StatTrak™ Bowie Knife | Freehand (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自由之手 (略有磨损)","★ StatTrak™ Bowie Knife | Freehand (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自由之手 (战痕累累)","★ StatTrak™ Bowie Knife | Freehand (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自由之手 (崭新出厂)","★ StatTrak™ Bowie Knife | Freehand (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自由之手 (久经沙场)","★ StatTrak™ Bowie Knife | Freehand (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自动化 (破损不堪)","★ StatTrak™ Bowie Knife | Autotronic (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自动化 (略有磨损)","★ StatTrak™ Bowie Knife | Autotronic (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自动化 (战痕累累)","★ StatTrak™ Bowie Knife | Autotronic (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自动化 (崭新出厂)","★ StatTrak™ Bowie Knife | Autotronic (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 自动化 (久经沙场)","★ StatTrak™ Bowie Knife | Autotronic (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 狩猎网格 (略有磨损)","★ StatTrak™ Bowie Knife | Safari Mesh (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 狩猎网格 (战痕累累)","★ StatTrak™ Bowie Knife | Safari Mesh (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 狩猎网格 (久经沙场)","★ StatTrak™ Bowie Knife | Safari Mesh (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 澄澈之水 (略有磨损)","★ StatTrak™ Bowie Knife | Bright Water (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 澄澈之水 (崭新出厂)","★ StatTrak™ Bowie Knife | Bright Water (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 澄澈之水 (久经沙场)","★ StatTrak™ Bowie Knife | Bright Water (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 渐变大理石 (崭新出厂)","★ StatTrak™ Bowie Knife | Marble Fade (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 渐变之色 (略有磨损)","★ StatTrak™ Bowie Knife | Fade (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 渐变之色 (崭新出厂)","★ StatTrak™ Bowie Knife | Fade (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 深红之网 (破损不堪)","★ StatTrak™ Bowie Knife | Crimson Web (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 深红之网 (略有磨损)","★ StatTrak™ Bowie Knife | Crimson Web (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 深红之网 (战痕累累)","★ StatTrak™ Bowie Knife | Crimson Web (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 深红之网 (久经沙场)","★ StatTrak™ Bowie Knife | Crimson Web (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 森林 DDPAT (略有磨损)","★ StatTrak™ Bowie Knife | Forest DDPAT (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 森林 DDPAT (久经沙场)","★ StatTrak™ Bowie Knife | Forest DDPAT (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 枯焦之色 (略有磨损)","★ StatTrak™ Bowie Knife | Scorched (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 枯焦之色 (战痕累累)","★ StatTrak™ Bowie Knife | Scorched (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 枯焦之色 (久经沙场)","★ StatTrak™ Bowie Knife | Scorched (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 屠夫 (略有磨损)","★ StatTrak™ Bowie Knife | Slaughter (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 屠夫 (崭新出厂)","★ StatTrak™ Bowie Knife | Slaughter (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 屠夫 (久经沙场)","★ StatTrak™ Bowie Knife | Slaughter (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 大马士革钢 (略有磨损)","★ StatTrak™ Bowie Knife | Damascus Steel (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 大马士革钢 (崭新出厂)","★ StatTrak™ Bowie Knife | Damascus Steel (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 大马士革钢 (久经沙场)","★ StatTrak™ Bowie Knife | Damascus Steel (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 多普勒 (略有磨损)","★ StatTrak™ Bowie Knife | Doppler (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 多普勒 (崭新出厂)","★ StatTrak™ Bowie Knife | Doppler (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 外表生锈 (破损不堪)","★ StatTrak™ Bowie Knife | Rust Coat (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 外表生锈 (战痕累累)","★ StatTrak™ Bowie Knife | Rust Coat (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 噩梦之夜 (略有磨损)","★ StatTrak™ Bowie Knife | Night (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 噩梦之夜 (战痕累累)","★ StatTrak™ Bowie Knife | Night (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 噩梦之夜 (久经沙场)","★ StatTrak™ Bowie Knife | Night (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 北方森林 (破损不堪)","★ StatTrak™ Bowie Knife | Boreal Forest (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 北方森林 (略有磨损)","★ StatTrak™ Bowie Knife | Boreal Forest (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 北方森林 (战痕累累)","★ StatTrak™ Bowie Knife | Boreal Forest (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 北方森林 (久经沙场)","★ StatTrak™ Bowie Knife | Boreal Forest (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 伽玛多普勒 (略有磨损)","★ StatTrak™ Bowie Knife | Gamma Doppler (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂)","★ StatTrak™ Bowie Knife | Gamma Doppler (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 传说 (破损不堪)","★ StatTrak™ Bowie Knife | Lore (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 传说 (略有磨损)","★ StatTrak™ Bowie Knife | Lore (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 传说 (战痕累累)","★ StatTrak™ Bowie Knife | Lore (Battle-Scarred)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 传说 (久经沙场)","★ StatTrak™ Bowie Knife | Lore (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 人工染色 (破损不堪)","★ StatTrak™ Bowie Knife | Stained (Well-Worn)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 人工染色 (略有磨损)","★ StatTrak™ Bowie Knife | Stained (Minimal Wear)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 人工染色 (崭新出厂)","★ StatTrak™ Bowie Knife | Stained (Factory New)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™） | 人工染色 (久经沙场)","★ StatTrak™ Bowie Knife | Stained (Field-Tested)","★ StatTrak™ 隐秘 匕首"
"鲍伊猎刀（★ StatTrak™）","★ StatTrak™ Bowie Knife","★ StatTrak™ 隐秘 匕首"
"魔性探员胶囊","Poorly Drawn Capsule","普通级 武器箱"
"骷髅匕首（★） | 都市伪装 (破损不堪)","★ Skeleton Knife | Urban Masked (Well-Worn)","★ 隐秘 匕首"
"骷髅匕首（★） | 都市伪装 (略有磨损)","★ Skeleton Knife | Urban Masked (Minimal Wear)","★ 隐秘 匕首"
"骷髅匕首（★） | 都市伪装 (战痕累累)","★ Skeleton Knife | Urban Masked (Battle-Scarred)","★ 隐秘 匕首"
"骷髅匕首（★） | 都市伪装 (久经沙场)","★ Skeleton Knife | Urban Masked (Field-Tested)","★ 隐秘 匕首"
"骷髅匕首（★） | 表面淬火 (破损不堪)","★ Skeleton Knife | Case Hardened (Well-Worn)","★ 隐秘 匕首"
"骷髅匕首（★） | 表面淬火 (略有磨损)","★ Skeleton Knife | Case Hardened (Minimal Wear)","★ 隐秘 匕首"
"骷髅匕首（★） | 表面淬火 (战痕累累)","★ Skeleton Knife | Case Hardened (Battle-Scarred)","★ 隐秘 匕首"
"骷髅匕首（★） | 表面淬火 (崭新出厂)","★ Skeleton Knife | Case Hardened (Factory New)","★ 隐秘 匕首"
"骷髅匕首（★） | 表面淬火 (久经沙场)","★ Skeleton Knife | Case Hardened (Field-Tested)","★ 隐秘 匕首"
"骷髅匕首（★） | 虎牙 (略有磨损)","★ Skeleton Knife | Tiger Tooth (Minimal Wear)","★ 隐秘 匕首"
"骷髅匕首（★） | 虎牙 (崭新出厂)","★ Skeleton Knife | Tiger Tooth (Factory New)","★ 隐秘 匕首"
"骷髅匕首（★） | 蓝钢 (破损不堪)","★ Skeleton Knife | Blue Steel (Well-Worn)","★ 隐秘 匕首"
